"Product Code","Amazon ASIN","Name","Sku Id","Selling Price","MRP","Cost Price","Quantity","Packaging Length (in cm)","Packaging Breadth (in cm)","Packaging Height (in cm)","Packaging Weight (in kg)","GST %","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6","Image 7","Image 8","Image 9","Image 10","Video 1","Video 2","Product Type","Size Type","Size","Colour","Description","Return/Exchange Condition","Visibility","Size Chart","Pickup Point","HSN Code","Customisation Id","Associated Pixel","attr_Brand","attr_Material","attr_Ideal For","attr_Feature","attr_Country of Origin","attr_ Type","attr_Outer Material","attr_Ideal for","attr_Product Type","attr_Features","attr_Country_of_Origin","attr_Additional Feature"
"Vase-133","","Chocolate Brown flower Vase (wooden material) WITHOUT flowers","HOD-133",799,1598,250,30,10,10,30,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Chocolate_Brown_flower_Vase__wooden_material__WITHOUT_flowers_DJR1TY2UZI_2025-07-16_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Chocolate_Brown_flower_Vase__wooden_material__WITHOUT_flowers_KEST5ZWYYU_2025-07-16_2.jpg","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Chocolate Brown","Stylish wooden flower Vase (30 cms) ","6",true,"",1,"","","","House of Dhaarna",,,,,,"Wooden","Home Decor, office desks, gifting, events","Vase","Easy to clean and maintain","India",
"Artificial Flower Bouquet and Vase-132","","Combo of Artificial ranunculus flower bouquet (2 sticks) with White Vase","HOD-132",999,1998,300,100,15,15,29,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Combo_of_Artificial_ranunculus_flower_bouquet__2_sticks__with_White_Vase_2RGEBOCQBT_2025-07-16_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Combo_of_Artificial_ranunculus_flower_bouquet__2_sticks__with_White_Vase_8NLXQ0TLUJ_2025-07-16_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Combo_of_Artificial_ranunculus_flower_bouquet__2_sticks__with_White_Vase_3WV9PHG0MD_2025-07-16_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Combo_of_Artificial_ranunculus_flower_bouquet__2_sticks__with_White_Vase_4E9AJQ269W_2025-07-16_4.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/FPjt9rWn_6CZAGY1GK6_2025-07-16_1.jpg","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Blue-Cream and Pink-Cream, White","Add a vibrant touch to your space with Artificial ranunculus flower bouquet sticks (Blue-Cream and Pink-Cream) arranged in a stylish white Vase","6",true,"",1,"","","","House of Dhaarna",,,,,,"Fabric and High quality plastic","Home Decor ( Living room, Bedroom or hallway), events, gifting","Artificial Flower","Low Maintenance: No Water or Sunlight","India",
"Artificial Plant Pot-130","","Yellow Artificial leaf bunch in stylish white pot","HOD-130",699,1398,230,30,15,10,30,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Yellow_Artificial_leaf_bunch_in_stylish_white_pot_PUYDM3AESS_2025-07-14_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Yellow_Artificial_leaf_bunch_in_stylish_white_pot_ZKRD7NTAKT_2025-07-14_2.jpg","","","","","","","","","","","home__home_improvement__plants_gardening","size","FREE SIZE","Yellow","Vibrant Artificial decorative plant in a stylish pot. Add a touch of calm and color to any corner with this effortless botanical beauty!","6",true,"",1,"","","","House of Dhaarna",,,,,,"High Quality Plastic and Sturdy plastic Pot","Home Decor (Living room, Bedroom or Hallway), Gifting, Events","Artificial Plant","Low Maintenance: No Water or Sunlight","India",
"Artificial Plant Pot-126","","Pink Artificial leaf bunch in stylish Vase","HOD-126",699,1398,230,30,10,15,30,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Pink_Artificial_leaf_bunch_in_stylish_Vase_0QZP3BW4UT_2025-07-14_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Pink_Artificial_leaf_bunch_in_stylish_Vase_WA3ZML9W7D_2025-07-14_2.jpg","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Pink","Vibrant Artificial decorative plant in a stylish pot. Add a touch of calm and color to any corner with this effortless botanical beauty!","6",true,"",1,"","","","House of Dhaarna",,,,,,"High Quality Plastic and Sturdy plastic Pot","Home Decor (Living room, Bedroom or Hallway), Gifting, Events","Artificial Plant","Low Maintenance: No Water or Sunlight","India",
"Artificial Plant Pot-127","","Purple Artificial Leaf Bunch in stylish white Vase","HOD-127",699,1398,230,30,10,15,30,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Purple_Artificial_Leaf_Bunch_in_stylish_white_Vase_LWQSAFBCWB_2025-07-14_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Purple_Artificial_Leaf_Bunch_in_stylish_white_Vase_DCBYC9QDII_2025-07-14_2.jpg","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Purple","Vibrant Artificial decorative plant in a stylish pot. Add a touch of calm and color to any corner with this effortless botanical beauty!","6",true,"",1,"","","","House of Dhaarna",,,,,,"High Quality Plastic and Sturdy plastic Pot","Home Decor (Living room, Bedroom or Hallway), Gifting, Events","Artificial Plant","Low Maintenance: No Water or Sunlight","India",
"Artificial Plant Pot- 128","","Neon Green Artificial leaf bunch in stylish white Vase","HOD- 128",699,1398,230,30,15,10,30,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Neon_Green_Artificial_leaf_bunch_in_stylish_white_Vase_SVL7EKBGN8_2025-07-14_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Neon_Green_Artificial_leaf_bunch_in_stylish_white_Vase_YGYNF7O0KA_2025-07-14_2.jpg","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","","Vibrant Artificial decorative plant in a stylish pot. Add a touch of calm and color to any corner with this effortless botanical beauty!","6",true,"",1,"","","","House of Dhaarna",,,,,,"High Quality Plastic and Sturdy plastic Pot","Home Decor (Living room, Bedroom or Hallway), Gifting, Events","Artificial Plant","Low Maintenance: No Water or Sunlight","India",
"Artificial Plant Pot-129","","Blue Artificial leaf bunch in stylish white Vase","HOD-129",699,1398,230,30,15,10,30,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Blue_Artificial_leaf_bunch_in_stylish_white_Vase_K0RG6GVWOJ_2025-07-14_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Blue_Artificial_leaf_bunch_in_stylish_white_Vase_9Z8XDKYU25_2025-07-14_2.jpg","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Blue","Vibrant Artificial decorative plant in a stylish pot. Add a touch of calm and color to any corner with this effortless botanical beauty!","6",true,"",1,"","","","House of Dhaarna",,,,,,"High Quality Plastic and Sturdy plastic Pot","Home Decor (Living room, Bedroom or Hallway), Gifting, Events","Artificial Plant","Low Maintenance: No Water or Sunlight","India",
"Artificial Plant Pot-131","","Combo of Artificial Chrysanthemum flower stick with donut shaped Vase","HOD-131",899,1798,250,30,15,15,33,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Reddish_Orange__yellow_Artificial_Chrysanthemum_flower_stick_with_white_donut_Vase_DM2480BX5R_2025-07-16_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Reddish_Orange__yellow_Artificial_Chrysanthemum_flower_stick_with_white_donut_Vase_8HPSLORABD_2025-07-16_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Reddish_Orange__yellow_Artificial_Chrysanthemum_flower_stick_with_white_donut_Vase_EMMY7E36U3_2025-07-16_3.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/3vDbVg7G_ZSBEZ5Q95W_2025-07-16_1.jpg","","","","","","","","","home__home_improvement__plants_gardening","size","FREE SIZE","Reddish-Orange, Yellow, White","Vibrant Artificial Chrysanthemum flower stick (33cms length) with White Donut shaped Vase (high quality plastic) will brighten your space instantly.","6",true,"",1,"","","","House of Dhaarna",,,,,,"Fabric and high quality plastic","Home Decor (Living room, Bedroom or Hallway), events, gifting","Artificial Flower","Low maintenance: No water or sunlight","India",
"Artificial Flower Bouquet-64","","Purple Artificial Tulips For Home Decor","HOD-64",579,1158,220,30,7,7,70,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/UC5vCkNs_KSWTLF2MMO_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/UC5vCkNs_I9V3P9EQXY_2025-06-12_1.jpg","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Purple","Brighten up your interiors with this stunning decorative arrangement featuring vibrant artificial tulips ( without Vase ).Each tulip in this arrangement is crafted from premium-quality materials using advanced techniques that replicate the texture, shape, and color gradients of real tulip petals. From the delicate curve of each bloom to the lush green leaves and flexible stems, every element is meticulously designed to exude a realistic and refreshing appeal.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic and fabric","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight- Long Lasting and Easy to maintain","India","Artificial Flower",,,,,,
"Artificial Flower Bouquet-63","","Yellow Artificial Tulips For Home Decor","HOD-63",579,1158,220,30,7,7,70,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/2HIPKe2s_5FKKRYEN0N_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/2HIPKe2s_WZUQNIFZXT_2025-06-12_1.png","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Yellow","Brighten up your interiors with this stunning decorative arrangement featuring vibrant artificial tulips ( without Vase ).Each tulip in this arrangement is crafted from premium-quality materials using advanced techniques that replicate the texture, shape, and color gradients of real tulip petals. From the delicate curve of each bloom to the lush green leaves and flexible stems, every element is meticulously designed to exude a realistic and refreshing appeal.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic and fabric","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight- Long Lasting and Easy to maintain","India","Artificial Flower",,,,,,
"Artificial Plant Stick-125","","Green Artificial Dieffenbachia leaves with Stick For Home Decor","HOD-125",699,1398,200,30,8,8,64,"0.4",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Green_Artificial_Dieffenbachia_leaves_with_Stick_For_Home_Decor_MB4SKIIVHU_2025-07-08_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Green_Artificial_Dieffenbachia_leaves_with_Stick_For_Home_Decor_AH011U3UYK_2025-07-08_2.jpg","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Green","Vibrant Artificial Dieffenbachia leaves with stick (Without Pot) . The artificial plant features a striking arrangement of leaves that boast rich hues of green with subtle variations, giving it a lifelike appearance. Its design is inspired by popular tropical foliage, making it a versatile decor piece that complements a variety of interior styles, from modern minimalistic to rustic and bohemian. Unlike real plants, it requires no watering, sunlight, or pruning, making it ideal for those with busy lifestyles or less green thumbs.","6",true,"",1,"","","","House of Dhaarna",,,,,,"High Quality Plastic","Indoor and Outdoor Settings- ideal for busy lifestyles.","Artificial Plant",,"India","Low Maintenance: No watering or sunlight"
"Artificial plant Stick-77","","Green & Yellow Artificial Calathea Leaves With Stick For Home Decor","HOD-77",699,1398,200,30,10,10,40,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/xvi4E2_6_H10UFKG43R_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/xvi4E2_6_1X16P8ROVV_2025-06-10_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/xvi4E2_6_G9DN0K0NGT_2025-06-12_1.jpg","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Green & yellow","Add a bold lifelike striped green leaves that instantly brightens up the space. (without pot).Each leaf in this decorative piece is made from high-quality, durable materials that replicate the texture, sheen, and structure of real foliage. The signature green-and-light-striped pattern mimics popular tropical plants like calathea or dracaena, giving your decor a contemporary and energetic flair. Whether you're styling a minimalist corner or enhancing a lush indoor jungle, this arrangement is sure to elevate your space with its bold and natural aesthetic.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic","Indoor and Outdoor Settings- ideal for busy lifestyles.
Perfect for home decor","Low Maintenance: No watering or sunlight.
 Plastic leaves are removable and washable.","India","Artificial Plant",,,,,,
